Record Length,100000,Points,0.0,596.000015736E-3,
Sample Interval,200.00000185E-12,s,200.00000185E-12,596.000015736E-3,
Trigger Point,0.0,Samples,400.00000370E-12,596.000015736E-3,
,,,599.999991675E-12,604.000031948E-3,
,,,800.000007404E-12,604.000031948E-3,
,,,999.999967622E-12,604.000031948E-3,
Source,CH1,,1.2000000E-9,596.000015736E-3,
Vertical Units,V,,1.4000000E-9,604.000031948E-3,
Vertical Scale,200.00000950E-3,,1.6000000E-9,604.000031948E-3,
Vertical Offset,0,,1.8000000E-9,596.000015736E-3,
Horizontal Units,s,,1.9999999E-9,596.000015736E-3,
Horizontal Scale,2.0000000E-6,,2.2000000E-9,604.000031948E-3,
Pt Fmt,Y,,2.4000000E-9,604.000031948E-3,
Yzero,-3.18000000,,2.6000000E-9,596.000015736E-3,
Probe Atten,1.000000,,2.80000001E-9,604.000031948E-3,
,,,3.00000003E-9,612.000048161E-3,
Note,DPO4104B - 11:08:47   2021/12/10,,3.20000004E-9,596.000015736E-3,
,,,3.40000006E-9,612.000048161E-3,
,,,3.60000008E-9,604.000031948E-3,
,,,3.79999987E-9,596.000015736E-3,
,,,3.99999989E-9,596.000015736E-3,
,,,4.19999990E-9,587.999999523E-3,
,,,4.39999992E-9,596.000015736E-3,
,,,4.59999994E-9,604.000031948E-3,
,,,4.79999995E-9,612.000048161E-3,
,,,4.99999997E-9,596.000015736E-3,
,,,5.19999999E-9,604.000031948E-3,
,,,5.40000000E-9,596.000015736E-3,
,,,5.60000002E-9,604.000031948E-3,
,,,5.80000004E-9,596.000015736E-3,
,,,6.00000005E-9,604.000031948E-3,
,,,6.20000007E-9,604.000031948E-3,
,,,6.40000009E-9,596.000015736E-3,
,,,6.60000010E-9,612.000048161E-3,
,,,6.80000012E-9,604.000031948E-3,
,,,7.00000014E-9,596.000015736E-3,
,,,7.20000015E-9,587.999999523E-3,
,,,7.400000168E-9,604.000031948E-3,
,,,7.599999741E-9,596.000015736E-3,
