Record Length,10000,Points,-199.99998813E-9,640.000045300E-3,,Record Length,10000,Points,-199.99998813E-9,920.000076294E-3,
Sample Interval,200.00000185E-12,s,-199.79998456E-9,760.000050068E-3,,Sample Interval,200.00000185E-12,s,-199.79998456E-9,920.000076294E-3,
Trigger Point,999.999927280,Samples,-199.59999520E-9,760.000050068E-3,,Trigger Point,999.999927280,Samples,-199.59999520E-9,1.0800000,
,,,-199.39999163E-9,880.000054836E-3,,,,,-199.39999163E-9,1.0000001,
,,,-199.19998806E-9,840.000033379E-3,,,,,-199.19998806E-9,920.000076294E-3,
,,,-198.99998449E-9,920.000076294E-3,,,,,-198.99998449E-9,920.000076294E-3,
Source,CH1,,-198.79999513E-9,1.0000001,,Source,CH2,,-198.79999513E-9,920.000076294E-3,
Vertical Units,V,,-198.59999156E-9,1.1200001,,Vertical Units,V,,-198.59999156E-9,920.000076294E-3,
Vertical Scale,1.0000001,,-198.39998799E-9,1.1600001,,Vertical Scale,2.0000001,,-198.39998799E-9,760.000050068E-3,
Vertical Offset,0,,-198.19998442E-9,1.3200001,,Vertical Offset,0,,-198.19998442E-9,760.000050068E-3,
Horizontal Units,s,,-197.99999507E-9,1.4800001,,Horizontal Units,s,,-197.99999507E-9,680.000066757E-3,
Horizontal Scale,200.00000267E-9,,-197.79999150E-9,1.5200001,,Horizontal Scale,200.00000267E-9,,-197.79999150E-9,760.000050068E-3,
Pt Fmt,Y,,-197.59998793E-9,1.6400001,,Pt Fmt,Y,,-197.59998793E-9,680.000066757E-3,
Yzero,-1.2000000,,-197.39998436E-9,1.7600001,,Yzero,-2.5000000,,-197.39998436E-9,680.000066757E-3,
Probe Atten,1.000000,,-197.19999500E-9,1.8800001,,Probe Atten,1.000000,,-197.19999500E-9,600.000023842E-3,
,,,-196.99999143E-9,1.9600002,,,,,-196.99999143E-9,520.000040531E-3,
Note,MDO4104C - 11:04:16   2021/12/7,,-196.79998786E-9,1.9600002,,Note,MDO4104C - 11:04:16   2021/12/7,,-196.79998786E-9,680.000066757E-3,
,,,-196.59998429E-9,2.0400002,,,,,-196.59998429E-9,520.000040531E-3,
,,,-196.39999493E-9,2.0400002,,,,,-196.39999493E-9,600.000023842E-3,
,,,-196.19999136E-9,2.2000000,,,,,-196.19999136E-9,680.000066757E-3,
,,,-195.99998780E-9,2.2000000,,,,,-195.99998780E-9,520.000040531E-3,
,,,-195.79998423E-9,2.2800002,,,,,-195.79998423E-9,520.000040531E-3,
,,,-195.59999487E-9,2.3200002,,,,,-195.59999487E-9,360.00001431E-3,
,,,-195.39999130E-9,2.3600001,,,,,-195.39999130E-9,280.00003099E-3,
,,,-195.19998773E-9,2.3200002,,,,,-195.19998773E-9,280.00003099E-3,
,,,-194.99998416E-9,2.3600001,,,,,-194.99998416E-9,360.00001431E-3,
,,,-194.79999480E-9,2.3600001,,,,,-194.79999480E-9,280.00003099E-3,
,,,-194.59999123E-9,2.3600001,,,,,-194.59999123E-9,200.00001788E-3,
,,,-194.39998766E-9,2.4400001,,,,,-194.39998766E-9,120.0000048E-3,
,,,-194.19998409E-9,2.4800003,,,,,-194.19998409E-9,-120.0000048E-3,
,,,-193.99999474E-9,2.5600002,,,,,-193.99999474E-9,-120.0000048E-3,
,,,-193.79999117E-9,2.6000001,,,,,-193.79999117E-9,-200.00001788E-3,
,,,-193.59998760E-9,2.6000001,,,,,-193.59998760E-9,-120.0000048E-3,
,,,-193.39998403E-9,2.6400001,,,,,-193.39998403E-9,-280.00003099E-3,
,,,-193.19999467E-9,2.76000023,,,,,-193.19999467E-9,-360.00001431E-3,
,,,-192.99999110E-9,2.80000019,,,,,-192.99999110E-9,-440.000027418E-3,
,,,-192.79998753E-9,2.80000019,,,,,-192.79998753E-9,-360.00001431E-3,
,,,-192.59998396E-9,2.84000015,,,,,-192.59998396E-9,-360.00001431E-3,
,,,-192.39999460E-9,2.88000011,,,,,-192.39999460E-9,-520.000040531E-3,
,,,-192.19999103E-9,3.04000020,,,,,-192.19999103E-9,-600.000023842E-3,
,,,-191.99998746E-9,3.00000024,,,,,-191.99998746E-9,-600.000023842E-3,
,,,-191.79998390E-9,3.04000020,,,,,-191.79998390E-9,-680.000066757E-3,
,,,-191.59999454E-9,3.04000020,,,,,-191.59999454E-9,-840.000033379E-3,
,,,-191.39999097E-9,3.04000020,,,,,-191.39999097E-9,-680.000066757E-3,
,,,-191.19998740E-9,3.00000024,,,,,-191.19998740E-9,-600.000023842E-3,
,,,-190.99998383E-9,3.04000020,,,,,-190.99998383E-9,-680.000066757E-3,
,,,-190.79999447E-9,2.96000028,,,,,-190.79999447E-9,-840.000033379E-3,
,,,-190.59999090E-9,2.88000011,,,,,-190.59999090E-9,-840.000033379E-3,
,,,-190.39998733E-9,2.76000023,,,,,-190.39998733E-9,-680.000066757E-3,
,,,-190.19998376E-9,2.5600002,,,,,-190.19998376E-9,-600.000023842E-3,
,,,-189.99999440E-9,2.4400001,,,,,-189.99999440E-9,-680.000066757E-3,
,,,-189.79999084E-9,2.3600001,,,,,-189.79999084E-9,-760.000050068E-3,
